# id                          beta  beta_uerr  beta_lerr        z   z_uerr   z_lerr      muv  muv_uerr  muv_lerr
JADES-50455                 -2.23       0.36       0.39     9.51     0.48     0.38   -18.28      0.12      0.11
JADES-68549                 -3.14       0.25       0.25    11.88     0.14     0.14   -19.20      0.04      0.04
JADES-69507                 -2.66       0.29       0.39    10.05     0.41     0.51   -18.41      0.11      0.17
JADES-69979                 -2.97       0.51       0.85     9.13     1.22     0.42   -18.58      0.12      0.21
JADES-1015339               -2.24       0.38       0.43     9.86     0.61     0.57   -18.06      0.16      0.18
JADES-1047091               -2.31       0.52       0.50    11.62     1.02     0.83   -17.50      0.32      0.20
JADES-1058823               -1.35       0.27       0.28    15.09     0.81     0.75   -18.48      0.21      0.16
JADES-1125442               -2.56       0.37       0.52     9.76     0.67     0.52   -18.26      0.13      0.23
JADES-2016436               -1.14       0.50       0.48     9.37     0.99     0.92   -17.16      0.41      0.38
JADES-2084090               -2.99       0.34       0.36    11.59     0.31     0.31   -18.39      0.12      0.09
JADES-2103879               -2.72       0.33       0.39    11.98     1.08     0.41   -18.85      0.12      0.12
NGDEEP-17469                -3.28       0.40       0.41    11.10     0.28     0.32   -18.56      0.14      0.08
NGDEEP-23088                -2.75       0.27       0.26    11.07     0.27     0.27   -19.07      0.11      0.08
NGDEEP-26794                -3.26       0.29       0.26    10.72     0.18     0.23   -19.73      0.10      0.07
NGDEEP-51475                -1.58       0.67       0.40     9.21     1.17     0.52   -17.76      0.34      0.30
NGDEEP-51925                -2.55       0.38       0.32    11.23     0.35     0.39   -19.32      0.19      0.13
NGDEEP-54829                -2.38       0.25       0.25    10.49     0.10     0.11   -19.64      0.05      0.04
NGDEEP-1003576              -2.56       0.25       0.25    15.40     0.29     0.29   -19.09      0.08      0.07
NGDEEP-1003750              -2.25       0.33       0.51    11.69     1.96     0.49   -19.47      0.16      0.26
NGDEEP-1026946              -2.57       0.25       0.25     9.13     0.08     0.07   -17.95      0.02      0.02
UNCOVER-SOUTH-7302          -2.47       0.25       0.43     9.48     0.97     0.47   -19.79      0.12      0.26
UNCOVER-SOUTH-9195          -2.49       0.27       0.40     9.15     1.23     0.43   -19.37      0.14      0.26
UNCOVER-SOUTH-22977         -2.27       0.25       0.25     9.25     0.08     0.07   -19.08      0.02      0.02
UNCOVER-SOUTH-26383         -2.55       0.25       0.25     9.73     0.20     0.17   -18.93      0.02      0.03
UNCOVER-SOUTH-31496         -2.41       0.28       0.29    11.60     0.56     0.42   -19.09      0.13      0.12
UNCOVER-SOUTH-33059         -2.04       0.25       0.25     9.76     0.21     0.22   -19.77      0.04      0.05
UNCOVER-SOUTH-43514         -2.62       0.31       0.36     8.91     0.78     0.37   -19.41      0.13      0.11
UNCOVER-SOUTH-45015         -2.20       0.25       0.32     9.74     0.38     0.32   -19.08      0.08      0.11
UNCOVER-SOUTH-51653         -2.60       0.25       0.25    11.53     0.31     0.28   -19.09      0.09      0.07
UNCOVER-SOUTH-57007         -2.79       0.25       0.25    10.61     0.15     0.16   -19.35      0.07      0.06
UNCOVER-SOUTH-59562         -2.22       0.25       0.25    11.61     0.09     0.09   -19.29      0.02      0.02
UNCOVER-SOUTH-1017193       -3.11       0.56       1.16    12.66     1.76     0.77   -20.19      0.17      0.27
UNCOVER-SOUTH-1089623       -2.04       0.25       0.25    10.96     0.34     0.41   -19.22      0.17      0.12
UNCOVER-SOUTH-2017743       -1.91       0.33       0.31    10.28     0.40     0.65   -19.33      0.24      0.17
